Date,BMW.DE,MBG.DE,PAH3.DE
2023-07-17,100.57260131835938,67.27639770507812,50.6019401550293
2023-07-18,100.8551025390625,67.23001861572266,50.92424774169922
2023-07-19,100.94927215576172,66.69195556640625,51.22759246826172
2023-07-20,101.40128326416016,66.38581085205078,51.22759246826172
2023-07-21,101.30712127685547,66.05184173583984,51.189674377441406
2023-07-24,102.26763916015625,66.23738098144531,51.625732421875
2023-07-25,102.09813690185547,66.07039642333984,51.47406005859375
2023-07-26,100.91160583496094,64.90150451660156,50.84840774536133
2023-07-27,103.54833984375,67.46194458007812,51.00008010864258
2023-07-28,104.79137420654297,68.24120330810547,50.943206787109375
2023-07-31,104.39586639404297,67.38772583007812,50.98112106323242
2023-08-01,98.7645492553711,65.7920913696289,50.6019401550293
2023-08-02,99.12239837646484,65.91268920898438,49.95732879638672
2023-08-03,96.975341796875,66.01473999023438,49.578147888183594
2023-08-04,98.01119995117188,66.33015441894531,49.63502502441406
2023-08-07,97.6910171508789,66.23738098144531,49.42647171020508
2023-08-08,95.92064666748047,65.1983642578125,48.004539489746094
2023-08-09,95.44979858398438,64.47476196289062,48.004539489746094
2023-08-10,95.95831298828125,65.2447509765625,48.4216423034668
2023-08-11,94.15967559814453,64.11296081542969,48.042457580566406
2023-08-14,94.26326751708984,63.86248016357422,47.70119094848633
2023-08-15,93.42516326904297,63.203819274902344,47.62535858154297
2023-08-16,93.9430923461914,63.34297561645508,47.32200622558594
2023-08-17,93.32157135009766,62.63792419433594,47.10397720336914
2023-08-18,92.5211410522461,62.17407989501953,46.430931091308594
2023-08-21,93.45340728759766,62.6564826965332,46.47832489013672
2023-08-22,93.88658905029297,62.88840866088867,46.56364440917969
2023-08-23,92.69064331054688,62.6564826965332,46.573123931884766
2023-08-24,91.13684844970703,62.14624786376953,46.146541595458984
2023-08-25,90.88259887695312,62.1555290222168,46.137062072753906
2023-08-28,90.96734619140625,62.55443572998047,46.33613586425781
2023-08-29,91.89020538330078,62.925514221191406,46.94282531738281
2023-08-30,91.5888671875,62.62865447998047,47.04710388183594
2023-08-31,91.50411224365234,62.6564826965332,46.9902229309082
2023-09-01,88.70729064941406,61.097957611083984,45.97591018676758
2023-09-04,88.9709701538086,61.691680908203125,46.15602111816406
2023-09-05,90.90142822265625,62.07203674316406,46.45936584472656
2023-09-06,90.68484497070312,61.450477600097656,46.317176818847656
2023-09-07,89.4888916015625,60.57844924926758,45.833717346191406
2023-09-08,90.04449462890625,61.070125579833984,45.5777702331543
2023-09-11,90.90142822265625,61.44120407104492,45.937992095947266
2023-09-12,90.9861831665039,62.07203674316406,46.35509490966797
2023-09-13,91.66419982910156,62.01637268066406,46.30769348144531
2023-09-14,90.32699584960938,61.654571533203125,46.00434875488281
2023-09-15,91.82428741455078,62.350341796875,46.45936584472656
2023-09-18,91.13684844970703,61.63602066040039,45.25546646118164
2023-09-19,91.96554565429688,62.0070915222168,45.644126892089844
2023-09-20,94.39510345458984,63.278038024902344,46.914390563964844
2023-09-21,93.66058349609375,62.55443572998047,46.41196823120117
2023-09-22,93.48165893554688,62.461669921875,46.44989013671875
2023-09-25,91.59828186035156,61.580352783203125,46.07070541381836
2023-09-26,90.38350677490234,60.72687530517578,44.45918273925781
2023-09-27,91.13684844970703,60.54133987426758,44.269588470458984
2023-09-28,91.48528289794922,61.12578582763672,43.80508804321289
2023-09-29,90.76017761230469,61.12578582763672,44.222190856933594
2023-10-02,90.56242370605469,60.866031646728516,44.222190856933594
2023-10-03,89.74315643310547,60.235198974609375,43.76716995239258
2023-10-04,89.83731842041016,60.235198974609375,43.7576904296875
2023-10-05,88.79204559326172,59.7620735168457,43.577579498291016
2023-10-06,90.12924194335938,59.2332878112793,43.68185806274414
2023-10-09,89.13105010986328,58.862213134765625,43.3690299987793
2023-10-10,91.83370208740234,59.93833923339844,44.15583419799805
2023-10-11,92.75656127929688,60.16098403930664,44.70564651489258
2023-10-12,92.70006561279297,60.476402282714844,44.64876937866211
2023-10-13,92.0597152709961,59.669307708740234,44.10843276977539
2023-10-16,92.88839721679688,60.021827697753906,44.411781311035156
2023-10-17,92.53055572509766,60.179542541503906,44.222190856933594
2023-10-18,92.20096588134766,59.5394287109375,43.966243743896484
2023-10-19,89.7525634765625,58.862213134765625,43.425907135009766
2023-10-20,88.10460662841797,57.526329040527344,42.27887725830078
2023-10-23,87.86918640136719,57.238746643066406,41.50155258178711
2023-10-24,87.11583709716797,57.08103942871094,41.08445358276367
2023-10-25,86.05171966552734,56.94188690185547,40.942256927490234
2023-10-26,83.46206665039062,53.6578483581543,40.477760314941406
2023-10-27,83.33023071289062,52.14570236206055,40.0606575012207
2023-10-30,82.59571838378906,51.56126022338867,39.76679229736328
2023-10-31,82.52037811279297,51.42210388183594,39.95638656616211
2023-11-01,83.81050109863281,51.923057556152344,40.326087951660156
2023-11-02,85.77862548828125,53.360984802246094,41.368839263916016
2023-11-03,87.5301742553711,53.71350860595703,42.43054962158203
2023-11-06,87.41717529296875,53.37025833129883,42.38315200805664
2023-11-07,85.98580169677734,52.75798034667969,41.861778259277344
2023-11-08,86.72032165527344,53.29604721069336,42.04188919067383
2023-11-09,86.83332824707031,53.147613525390625,42.12720489501953
2023-11-10,85.8633804321289,52.405460357666016,41.50155258178711
2023-11-13,86.729736328125,52.507503509521484,41.83333969116211
2023-11-14,88.67903900146484,53.797000885009766,43.30267333984375
2023-11-15,90.44942474365234,54.44638442993164,44.269588470458984
2023-11-16,88.5660400390625,53.75989532470703,43.54914093017578
